imo;matricula;documentInstance;document;versionFt;estadoVersionFt;estadoFictecId;materialCascoId;paisId;tipoNaveId;tipoTraficoId;armadorId;navieraId;puertoMatriculaId;fechaMatricula;nombreNave;callSign;inmarsat;mmsi;sociedadClasificadora;dicapi;constructorInfoNave;anoConstructor;tonelajePesoMuerto;velocidad;eslora;manga;puntal;arqueoNeto;arqueoBruto;caladoMinimo;caladoMaximo;dobleCaso;comentario;rucUsuario;tipoSeguimientoId;rol;razonSocialUsuario;operation;usunameRegAud;usunameModAud;ficha_tecnica_id;ficha_tecnica_det_id
null;CE-00417-AM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA011;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3798;4102
null;TA-88733-BL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA012;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3797;4101
null;SE-74607-AL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA013;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3796;4100
null;MO-84878-DF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA014;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3795;4099
null;PA-41929-DF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA015;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3794;4098
null;CY-32186-ML;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA016;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3793;4097
null;HO-27660-EF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA017;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3792;4096
null;YU-73626-CM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA018;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3791;4095
null;CO-59286-EM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA019;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3790;4094
null;PM-06960-DF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA020;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3789;4093
null;SN-13802-EM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA021;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3788;4092
null;IQ-42252-BM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA022;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3787;4091
null;MO-09986-AF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA023;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3786;4090
null;TA-54040-SM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA024;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3785;4089
null;CO-42138-AF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA025;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3784;4088
null;MO-68500-CM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA026;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3783;4087
null;CO-16918-BM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA027;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3782;4086
null;PM-07200-DF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA028;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3781;4085
null;SE-37214-AF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA029;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3780;4084
null;IO-97141-ML;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA030;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3779;4083
null;IO-03878-EM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA031;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3778;4082
null;YU-03442-MF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA032;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3777;4081
null;PU-35793-MM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA033;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3776;4080
null;SN-69110-MM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA034;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3775;4079
null;CE-88133-BM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA035;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3774;4078
null;PT-16761-DL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA036;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3773;4077
null;PL-17017-BL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA037;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3772;4076
null;PM-19223-AL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA038;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3771;4075
null;SE-56558-EL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA039;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3770;4074
null;SE-56978-SM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA040;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3769;4073
null;SY-19483-AM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA041;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3768;4072
null;MO-71456-BM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA042;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3767;4071
null;IQ-47717-MF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA043;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3766;4070
null;CE-48547-PM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA044;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3765;4069
null;SE-64520-CM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA045;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3764;4068
null;SN-60077-DF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA046;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3763;4067
null;IO-30287-DM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA047;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3762;4066
null;PM-09460-PM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA048;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3761;4065
null;SY-38248-BM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA049;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3760;4064
null;MO-91793-EM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA050;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3759;4063
null;YU-59879-BM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA051;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3758;4062
null;SN-68655-BL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA052;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3757;4061
null;PM-42496-EM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA053;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3756;4060
null;HO-94635-BM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA054;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3755;4059
null;PM-82703-BL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA055;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3754;4058
null;PM-20615-BL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA056;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3753;4057
null;IO-97798-MM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA057;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3752;4056
null;ZS-88252-CM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA058;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3751;4055
null;CE-08775-PM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA059;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3750;4054
null;CO-70100-CM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA060;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3749;4053
null;SE-10876-AL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA061;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3748;4052
null;TA-46483-DL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA062;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3747;4051
null;CE-57357-EL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA063;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3746;4050
null;MO-22599-DF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA064;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3745;4049
null;PM-27387-CM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA065;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3744;4048
null;TA-97515-EM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA066;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3743;4047
null;PM-64858-MF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA067;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3742;4046
null;ZS-35311-DL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA068;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3741;4045
null;PU-10751-PM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA069;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3740;4044
null;TA-78034-SM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA070;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3739;4043
null;MO-09348-MM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA071;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3738;4042
null;MO-40354-PM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA072;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3737;4041
null;ZS-00494-DL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA073;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3736;4040
null;ZS-25776-MM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA074;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3735;4039
null;MO-74753-EL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA075;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3734;4038
null;PM-33717-EM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA076;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3733;4037
null;CE-01161-MF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA077;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3732;4036
null;IQ-65623-BF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA078;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3731;4035
null;PA-65143-AL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA079;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3730;4034
null;CE-57620-PM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA080;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3729;4033
null;PS-37629-DF;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA081;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3728;4032
null;CO-52580-CM;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA082;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3727;4031
null;TA-88160-EL;null;null;1;1;2;7;446;39;4;1;319;1;2025-08-12;PRUEBA083;null;null;null;null;--;SIPI;2023;1222;null;322;200;144;123;134;44;55;true;;20100010136;1;ADM;COSMOS AGENCIA MARITIMA SAC;g;101 | Rosa Odar Prueba;101 | Rosa Odar Prueba;3726;4030
