Evolucion de tramites de mercancias restringidas en VUCE
Año;Entidad;Unidad de Medida;Valor
2018;SUCAMEC;Número de trámites;4,418
2018;PRODUCE;Número de trámites;3,648
2018;SERFOR;Número de trámites;752
2018;IPEN;Número de trámites;786
2018;MINEM;Número de trámites;0
2018;AGP;Número de trámites;0
2018;MINAGRI;Número de trámites;0
2018;MINAM;Número de trámites;0
2019;SENASA;Número de trámites;201,182
2019;MTC;Número de trámites;30,803
2019;MINCETUR - MR;Número de trámites;40
2019;SANIPES;Número de trámites;42,100
2019;DIGESA;Número de trámites;52,344
2019;DIGEMID;Número de trámites;35,261
2019;SUCAMEC;Número de trámites;5,213
2019;PRODUCE;Número de trámites;3,977
2019;SERFOR;Número de trámites;622
2019;IPEN;Número de trámites;844
2019;MINEM;Número de trámites;0
2019;AGP;Número de trámites;0
2019;MINAGRI;Número de trámites;0
2019;MINAM;Número de trámites;36
2020;SENASA;Número de trámites;224,219
2020;MTC;Número de trámites;33,797
2020;MINCETUR - MR;Número de trámites;0
2020;SANIPES;Número de trámites;26,197
2020;DIGESA;Número de trámites;56,320
2020;DIGEMID;Número de trámites;35,744
2020;SUCAMEC;Número de trámites;4,203
2020;PRODUCE;Número de trámites;3,764
2020;SERFOR;Número de trámites;401
2020;IPEN;Número de trámites;734
2020;MINEM;Número de trámites;0
2020;AGP;Número de trámites;0
2020;MINAGRI;Número de trámites;0
2020;MINAM;Número de trámites;625
2021;SENASA;Número de trámites;253,089
2021;MTC;Número de trámites;33,656
2021;MINCETUR - MR;Número de trámites;0
2021;SANIPES;Número de trámites;26,867
2021;DIGESA;Número de trámites;69,568
2021;DIGEMID;Número de trámites;42,338
2021;SUCAMEC;Número de trámites;9,062
2021;PRODUCE;Número de trámites;4,403
2021;SERFOR;Número de trámites;591
2021;IPEN;Número de trámites;1,055
2021;MINEM;Número de trámites;0
2021;AGP;Número de trámites;0
2021;MINAGRI;Número de trámites;0
2021;MINAM;Número de trámites;892
2022;SENASA;Número de trámites;268,689
2022;MTC;Número de trámites;31,909
2022;MINCETUR - MR;Número de trámites;0
2022;SANIPES;Número de trámites;23,863
2022;DIGESA;Número de trámites;76,073
2022;DIGEMID;Número de trámites;46,524
2022;SUCAMEC;Número de trámites;10,133
2022;PRODUCE;Número de trámites;6,245
2022;SERFOR;Número de trámites;548
2022;IPEN;Número de trámites;1,061
2022;MINEM;Número de trámites;0
2022;AGP;Número de trámites;0
2022;MINAGRI;Número de trámites;0
2022;MINAM;Número de trámites;941
2023;SENASA;Número de trámites;263,350
2023;MTC;Número de trámites;32,988
2023;MINCETUR - MR;Número de trámites;0
2023;SANIPES;Número de trámites;25,130
2023;DIGESA;Número de trámites;93,018
2023;DIGEMID;Número de trámites;48,088
2023;SUCAMEC;Número de trámites;12,295
2023;PRODUCE;Número de trámites;8,216
2023;SERFOR;Número de trámites;591
2023;IPEN;Número de trámites;1,056
2023;MINEM;Número de trámites;0
2023;AGP;Número de trámites;0
2023;MINAGRI;Número de trámites;0
2023;MINAM;Número de trámites;1,757
